userId,sessions,items,active_days,active_time,sessions_per_day,time_per_day,avg_items_per_session,time_per_session,perc_1_6,perc_6_12,perc_12_18,perc_18_1,unique_songs,unique_artists,max_song_perc,numbers_thup,numbers_thdn,numbers_addlist,numbers_addfrd,numbers_error,perc_thup,perc_thdn,perc_addlist,perc_addfrd,perc_popular_songs,last_status_paid,paid_days,perc_paid_days,female,state_SC,state_ WA,state_NJ,state_ AL,state_ MI,state_ MO,state_ NE,state_VA,state_ RI,state_KY,state_NH,state_ NH,state_ AK,state_ AR,state_WI,state_ID,state_ AZ,state_ WV,state_NC,state_ TN,state_ MA,state_MD,state_ NY,state_DE,state_ MD,state_ OH,state_MO,state_ FL,state_ IL,state_IL,state_ LA,state_ CA,state_ UT,state_WA,state_ TX,state_MS,state_ SC,state_AL,state_IN,state_IA,state_ OK,state_PA,state_ NV,state_ IA,state_ PA,state_ OR,state_ CT,state_WV,state_ NJ,state_ GA,state_ MS,state_MA,state_ MN,state_KS,state_ MT,state_ CO,state_ VA,state_AR,state_ WI,state_ KY,state_ IN,state_ DC,state_ NC,customer_age,agent_Firefox,agent_Mozilla,agent_Safari,agent_Gecko,agent_Version,agent_AppleWebKit,agent_Mobile,agent_Chrome
100010,7,381,7,64883000,1.0,9269000.0,54.42857142857143,9269000.0,0.23484907695434012,0.26076626076626075,0.5043846622793992,0.0,270,252,0.010414485726938046,17,5,7,4,0,0.04461942257217848,0.013123359580052493,0.01837270341207349,0.010498687664041995,0.17454545454545456,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,0,1,1,0,1,1,1,0
200002,6,474,7,95904000,1.0,1.366857142857143E7,79.0,1.5984E7,0.013459474249152864,0.21665649401216508,0.37743354450360955,0.39245048723507253,378,339,0.00629796754912672,21,6,8,4,0,0.04430379746835443,0.012658227848101266,0.016877637130801686,0.008438818565400843,0.10852713178294573,1,4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625,0,1,1,0,1,1,1,0
125,1,10,1,1774000,1.0,1774000.0,10.0,1774000.0,1.0,0.0,0.0,0.0,8,8,0.18728597795878069,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661,0,1,1,0,0,1,0,1
124,29,4825,33,1007450000,1.2424242424242424,3.041121212121212E7,166.3793103448276,3.4739655172413796E7,0.14026597379929986,0.2165851820264387,0.30165184075950957,0.34149700341475187,3392,2232,0.01036482744277222,171,41,118,74,6,0.03544041450777202,0.00849740932642487,0.0244559585492228,0.01533678756476684,0.15469477813189508,1,33,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671,0,1,1,0,0,1,0,1
51,10,2463,13,523272000,1.2307692307692308,4.0147384615384616E7,246.3,5.23272E7,0.22758067775609658,0.2495519282820218,0.28899549112304496,0.23387190283883663,1868,1385,0.015038588591997575,100,21,52,28,1,0.04060089321965083,0.008526187576126675,0.021112464474218433,0.011368250101502234,0.15537659876835622,1,13,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,604,0,1,1,0,0,1,0,1
7,7,201,8,36809000,1.0,4577500.0,28.714285714285715,5258428.571428572,0.516182776609401,0.1569934176385437,0.1991915439871084,0.12763226176494688,148,142,0.03448367293663794,7,1,5,1,1,0.03482587064676617,0.004975124378109453,0.024875621890547265,0.004975124378109453,0.18,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,1,1,0,1,0,0,0,0
15,15,2278,19,475455000,1.105263157894737,2.4945736842105262E7,151.86666666666667,3.1697E7,0.13063603491459075,0.25188264132116117,0.39466469544845495,0.22281662831579316,1719,1302,0.00803329459519723,81,14,59,31,2,0.03555750658472344,0.006145741878841089,0.025899912203687446,0.013608428446005268,0.14785788923719959,1,19,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602,0,1,1,0,0,1,0,1
54,37,3436,31,715452000,1.5806451612903225,2.2948483870967742E7,92.86486486486487,1.933654054054054E7,0.2603587610232361,0.10630157730948106,0.3027164095919779,0.33062325207530496,2445,1744,0.011062608171980483,163,29,72,33,1,0.047438882421420255,0.008440046565774156,0.020954598370197905,0.00960419091967404,0.1562829989440338,1,23,0.696969696969697,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,1,1,0,1,0,0,0,0
155,6,1002,8,197486000,1.125,2.45845E7,167.0,3.2914333333333332E7,0.32621832358674463,0.29561916487124246,0.08252282753667796,0.29563968400533497,762,643,0.013196093088608096,58,3,24,11,3,0.05788423153692615,0.0029940119760479044,0.023952095808383235,0.010978043912175649,0.1573170731707317,1,7,0.7777777777777778,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,0,1,1,0,0,1,0,1
100014,6,309,6,66526000,1.0,1.1087666666666666E7,51.5,1.1087666666666666E7,0.09927902165977123,0.0036961547821854467,0.7639784619128742,0.13304636164516914,248,233,0.03832703021395765,17,3,7,6,0,0.05501618122977346,0.009708737864077669,0.022653721682847898,0.019417475728155338,0.14007782101167315,1,6,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635,0,1,1,0,0,1,0,1
